,Full (Test),Raw (Test),Single (Test),Full (Val),Raw (Val),Single (Val)
n = 1,0.122,0.122,-0.002,0.442,0.442,0.278
n = 2,-0.080,-0.089,-0.010,0.591,0.135,0.221
n = 3,0.029,0.073,0.058,0.924,0.221,0.143
n = 4,0.226,0.115,0.090,1.466,0.604,0.471
n = 5,0.074,0.064,0.032,1.697,0.926,0.592
