,Full (Test),Raw (Test),Single (Test),Full (Val),Raw (Val),Single (Val)
n = 1,0.990 ± 0.898,0.990 ± 0.898,0.982 ± 0.839,1.254 ± 1.353,1.254 ± 1.353,1.214 ± 1.230
n = 2,0.738 ± 0.543,0.867 ± 0.745,0.824 ± 0.769,1.140 ± 1.187,1.027 ± 1.026,1.022 ± 1.062
n = 3,0.586 ± 0.435,0.906 ± 1.076,0.850 ± 0.957,1.190 ± 1.356,0.951 ± 0.964,0.897 ± 0.925
n = 4,0.553 ± 0.585,0.878 ± 1.103,0.807 ± 0.934,1.632 ± 1.436,1.078 ± 1.105,0.931 ± 0.941
n = 5,0.474 ± 0.468,0.831 ± 1.052,0.772 ± 0.869,1.899 ± 2.006,1.368 ± 1.267,1.127 ± 1.042
